108621	28	2	11	
101871	47	2	181	
107681	47	1	445	
103941	53	2	650	
110001	32	2	95	
107561	30	2	132	
101081	48	3	265	
102061	44	1	32	
104951	36	1	340	
103861	68	1	140	
105681	38	2	238	
100571	30	1	180	
107161	52	2	46	
103061	48	1	2726	
105821	21	2	145	
107601	52	1	4814	
106271	28	1	180	
107011	40	3	186	
109661	34	2	298	
108741	40	1	200	
107091	39	3	647	
107761	28	2	270	
103891	46	1	2726	
109051	44	2	200	
104591	47	2	74	
102101	29	2	283	
102271	34	1	263	
102171	50	1	132	
106581	32	2	1130	
109691	24	3	116	
104561	30	2	18	
103711	37	2	68	
107521	39	2	563	
100771	25	2	340	
106891	39	3	265	
103971	26	1	32	
100381	54	2	258	
107451	47	3	132	
108611	32	2	140	
101491	35	1	647	
108111	72	1	3877	
101711	28	2	61	
100971	44	1	88	
108691	46	1	69	
107301	24	3	140	
106711	46	3	599	
102851	25	2	305	
101161	49	1	417	
104681	48	2	516	
109261	42	1	1454	
104881	37	3	123	
102551	65	1	3791	
107901	21	3	68	
101391	33	4	430	
100841	43	1	2131	
105471	37	3	181	
108591	53	1	88	
103371	37	3	2168	
104361	59	1	140	
108911	39	2	74	
100171	60	2	1154	
109591	33	1	508	
102121	51	1	598	
102281	44	2	781	
108281	45	2	383	
104611	30	1	487	
102321	53	2	1929	
108971	30	2	978	
103961	50	1	642	
109491	33	1	592	
108681	29	1	606	
108361	40	1	74	
105781	41	1	40	
100551	24	2	61	
104931	55	1	5169	
103041	29	3	647	
107421	33	2	1188	
102511	34	2	54	
103561	27	1	313	
103771	27	3	68	
101421	22	2	263	
101251	41	1	265	
104471	28	1	263	
101621	30	2	200	
108491	24	2	32	
102051	40	3	6	
105311	30	2	6	
105421	50	1	1712	
104711	42	2	263	
104491	37	1	41	
105621	47	1	132	
107531	29	1	132	
108071	49	2	263	
107361	61	1	934	
106471	54	1	465	
109891	47	2	1406	
105911	33	2	430	
106571	31	1	52	
107431	51	2	216	
104981	29	2	54	
102441	24	3	404	
109001	26	1	48	
104461	35	1	6	
100521	49	3	4	
103351	23	1	11	
109571	26	2	263	
102731	27	1	394	
103841	40	2	6	
103511	50	2	11	
100481	42	2	118	
100861	61	2	263	
101531	33	3	123	
100641	45	1	928	
104891	30	1	759	
106531	60	1	5029	
104541	33	2	54	
103901	41	1	481	
109821	42	3	17	
105981	51	2	689	
107851	51	2	132	
101931	62	2	132	
101831	22	2	340	
109311	43	1	54	
105141	26	2	17	
108261	44	2	650	
109561	24	2	920	
105791	28	3	430	
105181	55	1	873	
105541	39	1	41	
104121	45	2	186	
100631	43	1	111	
103611	45	1	563	
103341	53	1	263	
104381	32	3	6	
103831	43	1	1231	
109541	26	2	68	
101441	32	1	140	
107791	69	2	1091	
109631	37	2	264	
108521	23	1	410	
107341	52	1	5	
109801	37	3	563	
109301	30	2	417	
101591	32	2	1579	
105321	52	2	838	
100331	40	2	41	
105971	47	1	542	
107221	32	2	95	
106511	26	2	528	
104321	38	2	1959	
108151	23	1	216	
109781	24	2	621	
105201	39	3	140	
104641	37	2	6	
106721	37	3	1124	
104131	43	3	367	
103621	47	2	186	
106801	23	2	11	
100021	30	1	265	
104971	31	2	46	
100291	54	2	493	
109681	33	2	298	
104961	31	2	132	
108531	50	1	550	
106011	44	1	898	
108761	32	1	41	
101851	37	1	200	
105531	39	2	438	
106441	30	2	54	
107271	57	2	74	
106911	35	3	606	
108321	36	2	140	
100341	52	1	32	
106151	35	1	934	
100611	49	1	1154	
105721	54	2	132	
105401	29	2	200	
105611	42	1	68	
109031	25	2	241	
101341	36	3	11	
108081	55	2	1454	
100221	43	1	465	
109501	36	3	61	
100261	33	2	2223	
105441	69	1	1244	
101861	35	2	180	
109321	42	1	40	
106081	51	2	88	
102071	50	2	1503	
103811	37	2	305	
106731	45	2	54	
104191	37	2	263	
107571	51	1	686	
103391	56	1	668	
102241	33	3	321	
106551	58	2	95	
103311	39	1	256	
108231	25	1	40	
107321	24	2	11	
101061	29	2	305	
108931	30	2	326	
103921	24	2	238	
102771	49	1	354	
104111	40	2	265	
109061	57	2	689	
